Attrition,BusinessTravel,Department,Education,EducationField,EmployeeID,JobLevel,JobRole,MonthlyIncome,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,age_group
No,Travel_Rarely,Research & Development,1,Medical,1002,1,Sales Representative,104450,18,10,3,7,1,7,3,3,3,3,3,25-35
No,Non-Travel,Research & Development,4,Life Sciences,1003,1,Laboratory Technician,87400,11,12,2,7,0,7,2,2,3,3,3,25-35
No,Travel_Rarely,Research & Development,2,Technical Degree,1004,1,Manufacturing Director,25140,11,15,2,1,1,0,2,4,3,2,3,35-45
Yes,Travel_Frequently,Research & Development,4,Other,1005,3,Sales Executive,76550,12,6,3,1,0,0,3,3,3,3,3,35-45
No,Travel_Rarely,Human Resources,3,Other,1006,1,Healthcare Representative,174650,13,7,3,5,0,4,2,2,2,3,3,35-45
No,Travel_Rarely,Research & Development,2,Life Sciences,1007,1,Sales Executive,73510,20,34,3,1,0,0,3,1,3,3,4,45-55
No,Non-Travel,Research & Development,3,Other,1008,1,Research Scientist,108200,12,11,2,9,1,7,4,2,2,3,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,1009,1,Sales Representative,121690,19,5,2,5,0,4,3,1,3,3,3,35-45
No,Non-Travel,Research & Development,4,Medical,1010,1,Research Scientist,196260,21,15,5,15,0,7,4,3,3,2,4,25-35
No,Non-Travel,Research & Development,4,Medical,1011,2,Healthcare Representative,20700,13,27,2,3,0,2,1,3,2,4,3,45-55
No,Travel_Rarely,Sales,2,Marketing,1012,1,Laboratory Technician,67820,16,10,2,9,1,8,2,4,3,3,3,35-45
No,Travel_Rarely,Sales,2,Life Sciences,1013,5,Sales Executive,77790,12,6,2,2,2,2,4,4,3,3,3,25-35
Yes,Travel_Rarely,Sales,2,Marketing,1014,5,Healthcare Representative,27910,14,1,3,1,1,0,2,2,3,4,3,< 25
No,Travel_Rarely,Research & Development,2,Life Sciences,1015,2,Sales Executive,32010,11,5,3,5,0,4,4,3,3,2,3,35-45
Yes,Travel_Rarely,Research & Development,3,Other,1016,4,Research Scientist,49680,14,1,3,1,0,0,3,1,3,3,3,< 25
No,Travel_Rarely,Research & Development,5,Life Sciences,1017,5,Sales Executive,131200,12,13,6,12,5,7,1,4,3,2,3,25-35
No,Travel_Rarely,Research & Development,4,Life Sciences,1018,1,Manager,40330,14,15,2,2,2,2,1,3,3,3,3,45-55
No,Travel_Rarely,Research & Development,1,Life Sciences,1019,2,Sales Executive,32910,16,5,2,5,0,3,2,2,3,2,3,35-45
No,Travel_Rarely,Sales,4,Marketing,1020,1,Sales Representative,42720,13,24,3,2,2,2,3,4,3,4,3,45-55
No,Travel_Rarely,Research & Development,3,Technical Degree,1021,4,Research Scientist,50560,12,15,2,12,5,7,4,1,3,2,3,35-45
Yes,Travel_Frequently,Sales,4,Life Sciences,1022,1,Research Scientist,28440,12,6,2,5,2,3,3,2,2,4,3,35-45
No,Travel_Rarely,Research & Development,2,Technical Degree,1023,2,Sales Executive,27030,14,19,2,10,4,7,3,2,2,3,3,35-45
Yes,Travel_Rarely,Research & Development,4,Life Sciences,1024,2,Research Scientist,19040,22,10,4,10,7,7,3,4,3,3,4,25-35
No,Travel_Rarely,Research & Development,5,Medical,1025,2,Laboratory Technician,82240,19,14,3,10,7,6,4,1,3,3,3,25-35
No,Travel_Rarely,Sales,3,Medical,1026,2,Sales Executive,47660,12,5,3,5,0,3,3,4,4,3,3,25-35
No,Travel_Rarely,Sales,4,Marketing,1027,2,Laboratory Technician,26100,12,9,2,4,2,2,3,3,3,2,3,35-45
No,Non-Travel,Research & Development,2,Life Sciences,1028,2,Manufacturing Director,57310,17,6,2,2,2,2,2,2,3,3,3,45-55
No,Travel_Rarely,Research & Development,2,Medical,1029,1,Research Director,25390,12,7,3,4,0,2,3,1,2,3,3,35-45
No,Travel_Rarely,Research & Development,4,Other,1030,2,Laboratory Technician,57140,11,10,2,0,0,0,2,1,2,3,3,35-45
No,Non-Travel,Sales,1,Life Sciences,1031,2,Research Director,43230,18,15,3,7,1,7,2,4,3,3,3,25-35
No,Non-Travel,Sales,4,Marketing,1032,3,Sales Executive,73360,11,13,3,11,3,8,1,2,3,3,3,35-45
Yes,Travel_Frequently,Research & Development,1,Life Sciences,1033,1,Manufacturing Director,134990,23,11,2,7,0,7,4,1,2,4,4,25-35
Yes,Travel_Rarely,Research & Development,3,Life Sciences,1034,1,Laboratory Technician,137580,11,10,5,10,0,8,4,1,1,3,3,35-45
No,Travel_Frequently,Research & Development,1,Medical,1035,2,Healthcare Representative,51550,18,7,3,2,2,2,3,4,3,2,3,35-45
No,Non-Travel,Human Resources,5,Medical,1036,3,Sales Executive,22580,18,7,2,3,1,2,1,3,2,3,3,35-45
No,Travel_Rarely,Research & Development,3,Life Sciences,1037,3,Research Scientist,35970,13,11,2,3,1,2,2,2,1,1,3,35-45
No,Travel_Rarely,Research & Development,1,Technical Degree,1038,3,Laboratory Technician,25150,18,23,2,22,13,5,3,3,4,2,3,35-45
No,Travel_Rarely,Sales,3,Marketing,1039,2,Manager,44200,11,9,3,7,0,2,1,3,3,3,3,25-35
Yes,Travel_Rarely,Human Resources,1,Technical Degree,1040,3,Sales Executive,65780,15,6,3,5,1,4,4,2,3,2,3,25-35
Yes,Travel_Rarely,Research & Development,3,Medical,1041,1,Sales Executive,44220,11,13,2,9,3,7,4,2,4,3,3,45-55
No,Travel_Rarely,Sales,2,Medical,1042,3,Sales Executive,102740,18,12,3,5,0,3,3,4,3,3,3,35-45
No,Travel_Rarely,Research & Development,3,Life Sciences,1043,2,Laboratory Technician,53430,14,10,5,10,4,8,2,3,3,2,3,25-35
No,Non-Travel,Research & Development,4,Medical,1044,1,Laboratory Technician,23760,12,37,3,16,14,14,2,2,2,3,3,> 65
No,Travel_Rarely,Research & Development,1,Technical Degree,1045,3,Manufacturing Director,53460,14,6,3,5,0,3,2,3,4,2,3,25-35
No,Travel_Rarely,Research & Development,5,Medical,1046,2,Research Scientist,28270,14,28,3,22,14,10,3,2,3,3,3,45-55
No,Travel_Rarely,Research & Development,4,Life Sciences,1047,2,Manager,199430,13,15,3,7,7,7,2,1,3,3,3,35-45
No,Travel_Rarely,Sales,4,Medical,1048,1,Research Scientist,31310,14,14,3,7,1,7,4,4,2,2,3,45-55
No,Travel_Frequently,Sales,4,Other,1049,3,Manufacturing Director,25520,18,9,2,3,2,2,1,1,3,3,3,25-35
No,Travel_Rarely,Sales,2,Life Sciences,1050,3,Manager,44770,15,3,6,3,1,2,3,1,3,3,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,1051,2,Manufacturing Director,64740,13,20,3,4,0,3,2,4,2,1,3,35-45
No,Travel_Rarely,Sales,3,Marketing,1052,1,Healthcare Representative,30330,12,5,2,5,1,2,3,4,3,2,3,25-35
No,Travel_Frequently,Research & Development,4,Technical Degree,1053,1,Sales Representative,29360,13,23,3,2,2,2,1,3,3,3,3,> 65
No,Non-Travel,Research & Development,3,Life Sciences,1054,3,Sales Representative,186060,24,0,4,0,0,0,2,3,1,3,4,< 25
Yes,Travel_Rarely,Research & Development,3,Life Sciences,1055,3,Laboratory Technician,21680,14,2,2,1,0,0,4,1,3,3,3,25-35
Yes,Travel_Rarely,Research & Development,2,Medical,1056,1,Manager,28530,14,4,5,2,2,0,1,1,3,2,3,25-35
No,Non-Travel,Sales,4,Technical Degree,1057,1,Research Scientist,170480,15,10,3,8,5,7,3,3,4,2,3,35-45
No,Travel_Rarely,Sales,3,Technical Degree,1058,5,Laboratory Technician,22900,11,15,5,1,0,0,4,2,3,3,3,35-45
No,Travel_Frequently,Sales,3,Medical,1059,1,Research Director,36000,23,7,2,7,7,7,1,4,3,3,4,35-45
No,Travel_Frequently,Sales,4,Life Sciences,1060,5,Research Scientist,21070,13,6,2,5,0,2,4,4,2,3,3,25-35
No,Travel_Frequently,Research & Development,2,Medical,1061,1,Human Resources,41150,11,11,1,11,3,10,4,4,4,3,3,25-35
No,Travel_Frequently,Sales,4,Life Sciences,1062,4,Sales Executive,43270,13,4,4,0,0,0,4,4,4,3,3,25-35
No,Non-Travel,Research & Development,3,Medical,1063,1,Manager,178560,18,10,2,6,3,3,3,3,2,3,3,35-45
No,Travel_Rarely,Sales,2,Life Sciences,1064,5,Manager,31960,14,7,3,2,2,0,2,3,3,2,3,45-55
No,Travel_Rarely,Human Resources,3,Life Sciences,1065,1,Laboratory Technician,190810,21,12,2,9,4,7,4,4,2,3,4,45-55
No,Non-Travel,Research & Development,3,Life Sciences,1066,1,Sales Executive,89660,16,3,3,3,2,2,3,4,3,2,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,1067,1,Manufacturing Director,22100,11,11,4,7,1,6,4,3,3,3,3,25-35
No,Travel_Rarely,Sales,4,Medical,1068,2,Research Director,45390,17,8,5,0,0,0,4,3,3,3,3,35-45
Yes,Travel_Rarely,Research & Development,1,Medical,1069,2,Laboratory Technician,27410,11,7,3,2,2,2,3,2,2,3,3,25-35
No,Travel_Rarely,Research & Development,1,Life Sciences,1070,2,Laboratory Technician,34910,14,25,0,19,2,8,1,1,3,3,3,45-55
No,Travel_Rarely,Sales,3,Life Sciences,1071,5,Research Scientist,45410,14,9,4,9,5,8,2,3,3,4,3,25-35
No,Travel_Rarely,Research & Development,2,Medical,1072,3,Sales Executive,26780,25,1,3,1,0,0,4,2,3,3,4,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,1073,1,Manufacturing Director,73790,13,21,3,16,6,14,1,3,3,2,3,35-45
No,Travel_Rarely,Research & Development,3,Life Sciences,1074,2,Manager,62720,14,29,3,22,12,9,4,2,3,2,3,45-55
Yes,Travel_Frequently,Research & Development,2,Life Sciences,1075,1,Laboratory Technician,52200,17,1,3,1,1,0,4,4,2,2,3,25-35
Yes,Travel_Rarely,Research & Development,4,Medical,1076,2,Sales Representative,27430,25,14,1,8,0,7,3,2,3,4,4,45-55
No,Travel_Frequently,Research & Development,4,Medical,1077,3,Healthcare Representative,49980,20,8,3,7,7,3,4,1,2,3,4,25-35
No,Travel_Rarely,Research & Development,3,Technical Degree,1078,3,Healthcare Representative,102520,13,7,3,2,2,2,3,4,3,3,3,35-45
No,Travel_Rarely,Research & Development,3,Life Sciences,1079,1,Human Resources,27810,13,19,2,5,0,4,2,4,4,3,3,45-55
No,Travel_Rarely,Research & Development,2,Life Sciences,1080,2,Laboratory Technician,68520,18,1,2,1,0,0,2,2,3,4,3,25-35
Yes,Travel_Rarely,Sales,4,Life Sciences,1081,2,Sales Executive,49500,12,1,3,1,0,0,2,4,2,3,3,25-35
Yes,Travel_Rarely,Research & Development,2,Life Sciences,1082,2,Laboratory Technician,35790,19,1,3,1,0,0,4,2,3,3,3,< 25
No,Travel_Rarely,Research & Development,3,Life Sciences,1083,1,Sales Executive,131910,14,10,2,10,1,7,2,3,3,2,3,35-45
No,Travel_Rarely,Research & Development,4,Life Sciences,1084,5,Manager,103770,14,10,2,10,0,2,2,3,3,3,3,25-35
No,Travel_Rarely,Sales,2,Technical Degree,1085,1,Sales Executive,22350,14,9,2,5,1,0,3,4,3,3,3,25-35
No,Travel_Rarely,Research & Development,5,Life Sciences,1086,1,Sales Executive,105020,12,11,4,3,1,2,4,1,3,2,3,25-35
No,Travel_Rarely,Research & Development,2,Medical,1087,1,Manufacturing Director,20110,13,16,4,5,0,4,4,1,3,4,3,35-45
No,Travel_Rarely,Sales,1,Technical Degree,1088,2,Laboratory Technician,18590,25,4,2,3,0,2,4,2,3,2,4,25-35
No,Travel_Rarely,Research & Development,3,Medical,1089,2,Sales Executive,37600,14,10,2,9,3,8,2,4,2,2,3,35-45
No,Travel_Frequently,Research & Development,3,Medical,1090,4,Manufacturing Director,177790,17,10,5,10,0,8,2,4,2,1,3,35-45
No,Travel_Rarely,Research & Development,3,Other,1091,1,Sales Executive,68330,13,22,3,19,11,16,1,1,3,3,3,35-45
No,Travel_Rarely,Research & Development,2,Life Sciences,1092,2,Human Resources,68120,13,1,2,1,1,0,2,3,2,2,3,25-35
No,Travel_Rarely,Research & Development,3,Technical Degree,1093,2,Manufacturing Director,51710,20,9,1,8,0,7,1,3,3,2,4,25-35
No,Travel_Frequently,Research & Development,3,Life Sciences,1094,2,Research Director,197400,14,24,2,22,4,7,4,4,3,4,3,45-55
No,Travel_Rarely,Sales,2,Medical,1095,4,Manager,187110,12,10,0,2,2,2,2,1,3,3,3,35-45
Yes,Non-Travel,Research & Development,2,Life Sciences,1096,1,Sales Representative,36920,12,5,5,5,3,0,4,1,3,3,3,25-35
Yes,Travel_Rarely,Human Resources,2,Medical,1097,5,Sales Executive,25590,21,5,3,4,1,0,1,4,3,3,4,> 65
No,Travel_Rarely,Research & Development,3,Technical Degree,1098,3,Healthcare Representative,25170,14,12,3,4,1,3,3,2,1,3,3,35-45
No,Travel_Rarely,Research & Development,3,Life Sciences,1099,1,Sales Executive,66230,18,14,3,5,1,4,3,2,3,3,3,35-45
No,Travel_Rarely,Research & Development,3,Technical Degree,1100,2,Sales Executive,182650,12,18,4,13,5,7,3,1,4,3,3,35-45
No,Travel_Rarely,Sales,4,Life Sciences,1101,1,Sales Executive,161240,23,8,2,5,1,4,3,4,3,2,4,25-35
No,Travel_Rarely,Research & Development,1,Life Sciences,1102,3,Laboratory Technician,25850,12,9,5,4,0,1,4,4,2,3,3,25-35
No,Travel_Rarely,Sales,2,Life Sciences,1103,3,Manufacturing Director,182130,21,4,3,2,2,2,1,3,2,4,4,25-35
No,Travel_Frequently,Sales,2,Life Sciences,1104,2,Healthcare Representative,83800,14,8,3,7,7,7,3,4,3,4,3,25-35
No,Travel_Frequently,Research & Development,4,Life Sciences,1105,2,Manager,29940,18,12,2,4,0,3,2,3,3,3,3,35-45
No,Travel_Rarely,Sales,3,Life Sciences,1106,5,Sales Executive,12230,13,10,3,10,0,9,2,3,2,3,3,25-35
No,Travel_Frequently,Sales,3,Life Sciences,1107,4,Research Scientist,11180,11,7,3,7,0,7,3,4,3,3,3,25-35
Yes,Travel_Frequently,Human Resources,4,Human Resources,1108,2,Sales Executive,28750,11,1,3,1,0,0,3,1,3,3,3,25-35
No,Non-Travel,Research & Development,5,Medical,1109,2,Sales Representative,188240,19,10,4,3,1,2,1,3,3,3,3,35-45
No,Travel_Rarely,Sales,2,Technical Degree,1110,2,Healthcare Representative,135770,12,6,2,5,1,2,2,2,2,3,3,25-35
No,Travel_Frequently,Research & Development,4,Life Sciences,1111,2,Manufacturing Director,26250,12,16,4,15,6,11,3,4,3,3,3,25-35
Yes,Travel_Rarely,Research & Development,3,Technical Degree,1112,1,Research Director,187890,16,6,4,2,2,2,4,3,3,3,3,25-35
No,Non-Travel,Research & Development,4,Medical,1113,1,Research Scientist,45380,11,16,3,8,1,7,3,2,4,3,3,45-55
No,Travel_Rarely,Research & Development,3,Technical Degree,1114,2,Sales Executive,198470,14,6,6,0,0,0,4,1,3,3,3,> 65
No,Travel_Rarely,Research & Development,3,Other,1115,1,Laboratory Technician,105120,12,10,2,10,7,9,1,1,3,3,3,35-45
No,Travel_Frequently,Research & Development,2,Medical,1116,1,Manager,44440,13,20,2,20,0,7,4,2,3,3,3,35-45
No,Travel_Rarely,Sales,3,Marketing,1117,5,Sales Representative,21540,21,29,3,1,0,0,4,4,2,3,4,> 65
Yes,Travel_Frequently,Research & Development,3,Life Sciences,1118,2,Laboratory Technician,191900,17,8,2,4,0,3,1,3,3,3,3,25-35
No,Travel_Rarely,Research & Development,4,Life Sciences,1119,1,Sales Representative,44900,21,10,1,5,0,3,2,4,4,3,4,35-45
No,Travel_Frequently,Sales,4,Life Sciences,1120,2,Research Scientist,35060,11,28,4,5,4,3,2,4,3,2,3,45-55
No,Travel_Rarely,Sales,3,Life Sciences,1121,1,Sales Executive,23720,12,14,3,0,0,0,2,4,3,3,3,35-45
Yes,Travel_Frequently,Sales,1,Life Sciences,1122,4,Laboratory Technician,102310,13,1,2,1,0,0,1,2,3,3,3,25-35
No,Travel_Rarely,Research & Development,1,Medical,1123,1,Sales Executive,54100,18,6,4,5,0,4,2,1,1,3,3,25-35
No,Non-Travel,Research & Development,1,Medical,1124,3,Research Scientist,79780,16,5,2,5,1,4,3,3,2,3,3,25-35
No,Non-Travel,Sales,1,Medical,1125,1,Sales Executive,38670,11,4,4,4,2,3,3,1,4,4,3,25-35
No,Non-Travel,Research & Development,3,Life Sciences,1126,2,Research Scientist,28380,19,5,5,5,0,2,1,2,3,1,3,35-45
No,Travel_Rarely,Sales,3,Marketing,1127,4,Healthcare Representative,46950,16,14,2,14,2,1,1,4,2,3,3,25-35
No,Travel_Rarely,Research & Development,3,Technical Degree,1128,1,Research Director,33390,16,9,2,8,1,1,4,3,2,2,3,25-35
No,Travel_Rarely,Research & Development,2,Life Sciences,1129,2,Research Scientist,20800,13,8,6,7,7,6,3,1,2,4,3,25-35
No,Travel_Rarely,Research & Development,4,Other,1130,2,Laboratory Technician,20960,22,6,2,5,0,2,1,1,2,4,4,25-35
No,Non-Travel,Research & Development,1,Life Sciences,1131,3,Manager,62090,17,9,5,5,1,2,3,4,3,4,3,25-35
No,Travel_Frequently,Research & Development,5,Technical Degree,1132,2,Human Resources,180610,14,10,2,10,8,7,4,1,3,3,3,25-35
Yes,Travel_Rarely,Sales,5,Life Sciences,1133,2,Sales Representative,171230,15,6,2,4,0,3,3,4,2,2,3,25-35
No,Travel_Rarely,Research & Development,2,Technical Degree,1134,3,Sales Representative,23720,12,20,3,1,0,0,1,1,2,2,3,35-45
No,Travel_Rarely,Research & Development,3,Life Sciences,1135,2,Sales Representative,48830,18,10,1,10,0,9,3,4,3,1,3,25-35
No,Travel_Rarely,Sales,3,Life Sciences,1136,1,Manager,39040,15,7,2,7,0,7,4,4,3,3,3,25-35
No,Travel_Rarely,Research & Development,1,Medical,1137,2,Research Scientist,46270,17,8,2,1,0,0,4,4,3,2,3,25-35
Yes,Travel_Frequently,Research & Development,1,Other,1138,3,Sales Executive,70940,14,10,2,10,0,8,1,4,3,3,3,25-35
Yes,Travel_Rarely,Research & Development,3,Medical,1139,1,Research Scientist,34230,15,15,4,2,2,2,1,1,2,3,3,45-55
No,Travel_Rarely,Research & Development,3,Other,1140,3,Research Scientist,66740,17,9,2,4,2,3,1,3,2,3,3,45-55
No,Travel_Frequently,Research & Development,4,Medical,1141,4,Sales Executive,168800,14,9,2,9,2,8,4,3,3,3,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,1142,1,Research Scientist,90940,12,10,0,10,0,9,1,3,3,3,3,35-45
No,Travel_Frequently,Research & Development,5,Medical,1143,4,Sales Executive,84460,14,7,3,6,1,2,4,2,3,2,3,35-45
No,Travel_Rarely,Sales,3,Marketing,1144,2,Laboratory Technician,119160,15,35,3,10,1,4,3,2,3,2,3,45-55
No,Travel_Rarely,Sales,3,Other,1145,1,Manufacturing Director,45340,13,1,2,1,0,0,4,4,3,3,3,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,1146,2,Sales Executive,98520,12,21,5,20,11,10,2,1,3,2,3,35-45
No,Non-Travel,Research & Development,4,Life Sciences,1147,2,Research Scientist,61510,13,20,3,20,3,7,4,3,3,3,3,35-45
No,Non-Travel,Research & Development,2,Life Sciences,1148,2,Healthcare Representative,23020,14,13,3,11,4,8,3,3,4,3,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,1149,2,Human Resources,23620,13,9,2,5,1,4,3,1,3,4,3,45-55
No,Travel_Rarely,Research & Development,4,Other,1150,1,Manufacturing Director,178610,11,4,5,4,1,2,2,3,2,1,3,< 25
No,Travel_Rarely,Research & Development,3,Life Sciences,1151,2,Research Scientist,191870,11,5,2,5,1,4,4,4,4,3,3,< 25
No,Travel_Frequently,Research & Development,3,Medical,1152,3,Research Scientist,197170,21,10,1,10,9,4,4,3,4,2,4,35-45
No,Travel_Rarely,Research & Development,1,Medical,1153,5,Research Scientist,35440,18,15,3,11,5,10,2,2,3,2,3,35-45
No,Travel_Rarely,Sales,5,Medical,1154,2,Laboratory Technician,85000,12,6,2,2,1,2,3,2,3,3,3,< 25
No,Travel_Rarely,Human Resources,4,Life Sciences,1155,2,Research Scientist,46610,11,12,3,12,1,7,4,2,2,2,3,25-35
No,Travel_Rarely,Research & Development,2,Medical,1156,5,Sales Executive,41030,15,7,2,2,0,2,4,3,2,3,3,< 25
No,Travel_Rarely,Research & Development,4,Life Sciences,1157,2,Sales Executive,42490,13,25,2,17,12,11,1,3,3,2,3,45-55
No,Non-Travel,Research & Development,3,Life Sciences,1158,2,Research Scientist,140260,12,1,4,1,0,0,2,3,2,3,3,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,1159,2,Sales Executive,68930,17,16,3,15,5,8,4,2,3,3,3,35-45
No,Travel_Rarely,Research & Development,4,Medical,1160,3,Sales Executive,61250,13,3,3,2,1,2,1,3,3,3,3,25-35
No,Travel_Frequently,Research & Development,4,Other,1161,2,Research Scientist,36690,19,10,2,8,7,7,1,3,3,3,3,35-45
No,Travel_Rarely,Research & Development,3,Medical,1162,2,Laboratory Technician,100080,19,9,3,4,1,2,4,1,2,1,3,35-45
No,Travel_Rarely,Sales,2,Medical,1163,1,Healthcare Representative,23870,17,12,1,5,1,0,4,4,3,1,3,35-45
No,Non-Travel,Research & Development,2,Medical,1164,1,Sales Executive,46390,11,14,2,13,5,12,3,2,1,2,3,45-55
No,Travel_Rarely,Research & Development,3,Life Sciences,1165,2,Healthcare Representative,78980,15,5,2,2,2,2,4,3,3,2,3,25-35
No,Travel_Rarely,Human Resources,1,Human Resources,1166,2,Sales Executive,25340,11,4,1,3,1,2,4,3,4,3,3,< 25
No,Travel_Rarely,Research & Development,3,Medical,1167,2,Sales Executive,131420,25,10,4,10,0,8,2,3,3,3,4,25-35
No,Travel_Rarely,Sales,4,Medical,1168,3,Healthcare Representative,16110,14,10,2,9,8,1,2,4,3,2,3,25-35
No,Travel_Rarely,Research & Development,2,Technical Degree,1169,3,Manufacturing Director,53630,13,6,4,6,4,1,3,2,3,3,3,25-35
No,Travel_Rarely,Research & Development,4,Medical,1170,2,Research Director,50710,17,8,3,1,0,0,1,4,2,2,3,35-45
No,Travel_Rarely,Research & Development,2,Medical,1171,3,Sales Executive,136950,13,3,3,2,2,2,2,2,3,3,3,25-35
No,Travel_Rarely,Research & Development,4,Life Sciences,1172,1,Sales Executive,134020,14,18,1,7,1,7,1,4,3,3,3,35-45
No,Travel_Rarely,Sales,4,Medical,1173,2,Research Director,20290,11,20,3,18,1,11,2,3,3,2,3,35-45
No,Travel_Rarely,Research & Development,3,Life Sciences,1174,2,Manager,63770,12,14,3,14,5,7,3,4,3,3,3,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,1175,4,Sales Executive,54290,17,16,3,16,6,8,3,4,3,3,3,35-45
No,Travel_Rarely,Research & Development,4,Medical,1176,2,Manufacturing Director,27850,21,6,2,5,0,4,1,3,2,3,4,< 25
No,Non-Travel,Research & Development,4,Other,1177,1,Manager,46140,16,16,3,9,0,0,1,4,2,3,3,45-55
No,Travel_Rarely,Research & Development,1,Life Sciences,1178,1,Sales Representative,26100,15,6,2,4,1,2,2,4,3,3,3,35-45
No,Travel_Rarely,Sales,5,Medical,1179,3,Research Scientist,66870,19,2,0,2,1,2,3,1,3,3,3,< 25
No,Non-Travel,Research & Development,4,Life Sciences,1180,2,Research Director,47240,12,21,4,6,1,3,4,4,2,4,3,35-45
Yes,Travel_Frequently,Research & Development,4,Life Sciences,1181,2,Manufacturing Director,61790,11,1,3,1,1,0,4,1,2,3,3,< 25
No,Travel_Rarely,Research & Development,3,Life Sciences,1182,2,Laboratory Technician,61200,19,10,2,9,3,4,1,4,3,3,3,35-45
No,Travel_Frequently,Research & Development,1,Medical,1183,2,Sales Executive,105960,15,18,3,4,0,2,4,2,3,2,3,35-45
No,Non-Travel,Research & Development,1,Life Sciences,1184,1,Sales Executive,54670,20,13,6,13,1,9,3,3,2,2,4,> 65
Yes,Travel_Rarely,Research & Development,4,Medical,1185,2,Sales Representative,29960,25,4,4,2,2,2,1,4,4,3,4,25-35
No,Travel_Rarely,Research & Development,1,Life Sciences,1186,3,Research Scientist,99980,24,24,3,22,4,14,1,3,2,2,4,35-45
Yes,Travel_Rarely,Sales,4,Other,1187,2,Sales Executive,40780,24,14,3,10,9,8,4,3,1,3,4,> 65
No,Travel_Rarely,Research & Development,4,Life Sciences,1188,1,Healthcare Representative,109200,15,21,3,20,0,10,1,2,3,4,3,35-45
No,Travel_Rarely,Sales,3,Medical,1189,1,Laboratory Technician,62320,13,8,3,8,1,7,4,3,3,3,3,25-35
No,Non-Travel,Sales,1,Medical,1190,1,Human Resources,132470,14,15,3,15,11,11,4,4,2,3,3,35-45
No,Travel_Rarely,Research & Development,5,Medical,1191,1,Healthcare Representative,40810,13,14,3,5,0,4,3,2,3,3,3,35-45
No,Travel_Rarely,Sales,4,Life Sciences,1192,2,Research Scientist,57690,11,4,3,4,1,2,4,1,3,3,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,1193,2,Healthcare Representative,23940,16,9,3,9,1,7,3,4,3,3,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,1194,3,Sales Representative,39040,22,10,3,10,1,9,1,4,3,2,4,35-45
Yes,Travel_Frequently,Sales,2,Life Sciences,1195,2,Laboratory Technician,167990,14,12,2,6,0,1,2,3,3,2,3,45-55
No,Travel_Rarely,Research & Development,4,Life Sciences,1196,1,Healthcare Representative,29500,14,8,1,6,0,0,2,3,2,2,3,35-45
No,Travel_Rarely,Sales,3,Life Sciences,1197,1,Laboratory Technician,36290,16,8,2,5,0,1,4,3,3,4,3,35-45
No,Travel_Rarely,Sales,4,Life Sciences,1198,1,Research Scientist,93620,11,8,6,2,2,2,3,3,3,3,3,35-45
No,Travel_Frequently,Sales,2,Life Sciences,1199,2,Manufacturing Director,32290,25,10,2,10,0,2,3,3,4,2,4,25-35
No,Travel_Rarely,Research & Development,4,Life Sciences,1200,1,Manager,35780,14,20,2,5,0,2,3,3,3,3,3,35-45
No,Travel_Rarely,Human Resources,1,Life Sciences,1201,2,Research Scientist,79880,18,4,3,4,1,1,3,4,3,3,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,1202,3,Sales Executive,42840,11,10,5,4,0,3,4,2,3,2,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,1203,2,Sales Representative,75530,19,5,3,5,0,4,4,1,1,3,3,25-35
Yes,Travel_Rarely,Research & Development,3,Medical,1204,1,Research Scientist,173280,15,20,1,3,2,0,4,1,3,3,3,45-55
No,Travel_Rarely,Sales,3,Medical,1205,2,Sales Executive,197010,11,21,3,20,9,6,2,4,2,4,3,35-45
No,Non-Travel,Research & Development,4,Life Sciences,1206,4,Sales Executive,147320,12,10,3,9,1,7,2,1,3,3,3,25-35
No,Travel_Rarely,Research & Development,4,Medical,1207,2,Manager,92780,20,5,3,4,0,0,4,3,3,3,4,25-35
No,Travel_Frequently,Research & Development,1,Technical Degree,1208,1,Sales Executive,13590,12,17,2,5,0,3,3,4,3,3,3,35-45
No,Travel_Rarely,Research & Development,1,Medical,1209,1,Research Scientist,47790,14,9,3,7,1,7,4,1,3,3,3,35-45
No,Travel_Rarely,Research & Development,2,Medical,1210,1,Laboratory Technician,164220,20,6,3,6,0,3,2,2,3,3,4,25-35
No,Travel_Frequently,Research & Development,1,Medical,1211,3,Healthcare Representative,29960,18,17,2,9,0,8,4,2,2,2,3,45-55
No,Travel_Rarely,Sales,3,Medical,1212,1,Sales Executive,12610,14,6,6,4,1,2,2,3,4,3,3,25-35
